State,Issuer ID,URL Submitted,Tech POC Email
AK,21989,https://cms.deltadental.com/index.json,nick.firth@modahealth.com
AK,38344,https://fm.formularynavigator.com/jsonFiles/publish/11/47/cms-data-index.json,Gina.Dinkel@premera.com
AK,73836,https://www.modahealth.com/cms-data-index.json,nick.firth@modahealth.com
AK,74819,https://json.bestlife.com/cms/cms-data-index.json,blacomble@bestlife.com
AL,12538,https://json.bestlife.com/cms/cms-data-index.json,blacomble@bestlife.com
AL,17091,https://d3ul0st9g52g6o.cloudfront.net/ffm/cms-data-index.json,extproviderdataeng@hioscar.com
AL,17540,https://dentalexchange.guardiandirect.com/secure/json/index.json,Kathryn_cranor@glic.com
AL,28725,https://cmsdata.providers4you.com/cms-data-index.json,plan@renaissancefamily.com
AL,44580,https://apis.humana.com/v1/cms/index.json,pboulet@humana.com
AL,46363,https://emihealth.com/Services/providerdata/cms-data-index.json,vhoang@emihealth.com
AL,46944,https://www.bcbsal.org/cms/cms-data-index.json,rodnichols@bcbsal.org
AL,53932,https://api.centene.com/ambetter/reference/cms-data-index.json,ambbackofficesupport@centene.com
AL,60075,https://qhp.truassure.com/cmsdata/index.json,SRSellService@northwindstech.com
AL,69461,https://www.uhc.com/content/dam/uhcdotcom/en/general/cms-data-index.json,tanya_lee@uhc.com
AL,82285,https://cms.deltadental.com/index.json,bperry@deltadental.com
AR,13262,https://secure.healthadvantage-hmo.com/doclib/QHP/HA/index.json,pledmonson@arkbluecross.com
AR,26904,https://json.bestlife.com/cms/cms-data-index.json,blacomble@bestlife.com
AR,28348,https://cms.deltadental.com/index.json,support@deltadental.com
AR,37903,https://api.centene.com/ambetter/reference/cms-data-index.json,ambbackofficesupport@centene.com
AR,48772,https://secure.arkansasoctave.com/doclib/QHP/Octave/index.json,pledmonson@arkbluecross.com
AR,62141,https://api.centene.com/ambetter/reference/cms-data-index.json,ambbackofficesupport@centene.com
AR,70525,https://api.centene.com/ambetter/reference/cms-data-index.json,ambbackofficesupport@centene.com
AR,75293,https://secure.arkansasbluecross.com/doclib/QHP/index.json,pledmonson@arkbluecross.com
AZ,12303,https://dentaquest.com/getattachment/Marketplace/CMSDataIndex/cms-data-index.json,Scott.Borth@greatdentalplans.com
AZ,13877,https://d3ul0st9g52g6o.cloudfront.net/ffm/cms-data-index.json,extproviderdataeng@hioscar.com
AZ,17454,https://dentalexchange.guardiandirect.com/secure/json/index.json,Kathryn_cranor@glic.com
AZ,24106,https://qhp.truassure.com/cmsdata/index.json,SRSellService@northwindstech.com
AZ,30045,https://cms.deltadental.com/index.json,spathak@deltadental.com
AZ,34095,https://api.solsticebenefits.com/v1/Providers/Cms/GetIndex.json,emoya@solsticebenefits.com
AZ,40702,https://www.uhc.com/content/dam/uhcdotcom/en/general/cms-data-index.json,tanya_lee@uhc.com
AZ,53613,https://emihealth.com/Services/providerdata/cms-data-index.json,vhoang@emihealth.com
AZ,53901,https://azblue.com/JSON/Index.JSON,Shelley.Price@azblue.com
AZ,66105,https://apis.humana.com/v1/cms/index.json,pboulet@humana.com
AZ,68445,https://api.antidotehealth.ai/antidote-index-az-2026.json,jike@antidotehealth.com
AZ,77352,https://json.bestlife.com/cms/cms-data-index.json,blacomble@bestlife.com
AZ,82011,https://api.solsticebenefits.com/v1/Providers/Cms/GetIndex.json,emoya@solsticebenefits.com
AZ,85533,https://fm.formularynavigator.com/jsonFiles/publish/200/269/cms-data-index.json,johnny.tay@imperialhealthholdings.com
AZ,86830,https://www.cigna.com/sites/json/cms-data-index.json,IFPProviderJSONFileSupport@Cigna.com
AZ,91450,https://api.centene.com/ambetter/reference/cms-data-index.json,ambbackofficesupport@centene.com
AZ,97667,https://www.cigna.com/sites/json/cms-data-index.json,IFPProviderJSONFileSupport@Cigna.com
DE,26018,https://cms.deltadental.com/index.json,bperry@deltadental.com
DE,64004,https://api.centene.com/ambetter/reference/cms-data-index.json,ambbackofficesupport@centene.com
DE,67775,https://www.dominionnational.com/Resources/dominion/index.json,is-operations@dominionnational.com
DE,72760,https://www.amerihealthcaritasnext.com/cms-data-index.json,PlanSupport@AmeriHealthCaritasNext.com
DE,76168,https://www.pfpdata.com/cms-data/76168-de/76168-index.json,HM_JSON_Notification@thryvedigital.com
FL,13887,https://22healthplan.com/machine-readable-files/cms-data-index.json,areis@ccpcares.org
FL,15833,https://dentalexchange.guardiandirect.com/secure/json/index.json,Kathryn_cranor@glic.com
FL,15980,https://apis.humana.com/v1/cms/index.json,pboulet@humana.com
FL,16842,https://www.bcbsfl.com/DocumentLibrary/Providers/cms/index.json,cms_mrf_json@bcbsfl.com
FL,17121,https://json.bestlife.com/cms/cms-data-index.json,Blacomble@bestlife.com
FL,19898,https://shc-p-001.sitecorecontenthub.cloud/api/public/content/indexfile.json,SHP_IT_PROVIDER@sentara.com
FL,21525,https://d3ul0st9g52g6o.cloudfront.net/ffm/cms-data-index.json,extproviderdataeng@hioscar.com
FL,30115,https://fl-d4h.dentaltotalhealth.com/healthcare-data/FL/cms-data-index.json,DentalCMS@lsvusa.com
FL,30252,https://www.bcbsfl.com/DocumentLibrary/Providers/cms/index.json,cms_mrf_json@bcbsfl.com
FL,36194,https://apps.hf.org/applications/dn/cms_json/index.json,HFHP_Data_Integration@hf.org
FL,43274,https://api.solsticebenefits.com/v1/Providers/Cms/GetIndex.json,emoya@solsticebenefits.com
FL,44228,https://www22.elevancehealth.com/cms-data-index-json/Elevance-Health-Data-Index.json,json-delivery-support@elevancehealth.com
FL,48121,https://www.cigna.com/sites/json/cms-data-index.json,IFPProviderJSONFileSupport@Cigna.com
FL,48129,https://cmsdata.providers4you.com/cms-data-index.json,plan@renaissancefamily.com
FL,49004,https://api.centene.com/ambetter/reference/cms-data-index.json,ambbackofficesupport@centene.com
FL,54172,https://www.molinahealthcare.com/cms/json/index.json,brooke.souders@molinahealthcare.com
FL,56503,https://www.fhcp.com/xml/cms-data-index.json,kripley@fhcp.com
FL,59667,https://dentaquest.com/getattachment/Marketplace/CMSDataIndex/cms-data-index.json,Scott.Borth@greatdentalplans.com
FL,66966,https://capitalhealth.com/cms-data-index.json,FXFERGUSON@chp.org
FL,67926,https://www.amerihealthcaritasnext.com/cms-data-index.json,PlanSupport@AmeriHealthCaritasNext.com
FL,68398,https://www.uhc.com/content/dam/uhcdotcom/en/general/cms-data-index.json,tanya_lee@uhc.com
FL,74243,https://www.dominionnational.com/Resources/dominion/index.json,is-operations@dominionnational.com
FL,79850,https://www.cigna.com/sites/json/cms-data-index.json,IFPProviderJSONFileSupport@Cigna.com
FL,86382,https://api.centene.com/ambetter/reference/cms-data-index.json,ambbackofficesupport@centene.com
FL,97725,https://cms.deltadental.com/index.json,bperry@deltadental.com
FL,98869,https://emihealth.com/Services/providerdata/cms-data-index.json,vhoang@emihealth.com
HI,10046,https://json.bestlife.com/cms/cms-data-index.json,blcomble@bestlife.com
HI,18350,https://hmsa.com/cms-data-index.json,webmaster@hmsa.com
HI,27409,https://dentalexchange.guardiandirect.com/secure/json/index.json,Kathryn_cranor@glic.com
HI,31358,https://apis.humana.com/v1/cms/index.json,pboulet@humana.com
HI,46082,https://www.hawaiidentalservice.com/cms/index.json,isd@hawaiidentalservice.com
HI,60612,https://healthy.kaiserpermanente.org/content/dam/kporg/data/hi/cms-data-index.json,Sebastian.k.passanisi@kp.org
IA,25896,https://public-cdn.wellmark.com/json/WHPI/index.json,JSONSupport@wellmark.com
IA,45819,https://d3ul0st9g52g6o.cloudfront.net/ffm/cms-data-index.json,extproviderdataeng@hioscar.com
IA,48286,https://api.centene.com/ambetter/reference/cms-data-index.json,ambbackofficesupport@centene.com
IA,50730,https://dentalexchange.guardiandirect.com/secure/json/index.json,Kathryn_cranor@glic.com
IA,56610,https://www.uhc.com/content/dam/uhcdotcom/en/general/cms-data-index.json,tanya_lee@uhc.com
IA,63366,https://cms.deltadental.com/index.json,support@deltadental.com
IA,71051,https://json.bestlife.com/cms/cms-data-index.json,blacomble@bestlife.com
IA,74980,https://www.ahsecure.net/CMS/index.json,AHPCustomAppDev@avera.org
IA,93078,https://esbgatewaypub.medica.com/rest/QHP/IA/93078/cms-data-index.json,medicaqhpcertification@medica.com
IN,16845,https://www.dominionnational.com/Resources/dominion/index.json,is-operations@dominionnational.com
